indroea,event_id,inicio,fin,duracion,deficit_hm3
9011,283,2002-03-27,2002-04-03,8,4.071600000000001
9011,284,2002-04-23,2002-05-06,14,31.749840000000006
9011,285,2002-05-30,2002-06-04,6,2.046297600000001
9011,286,2002-06-18,2002-08-22,66,31.144694400000002
9011,287,2002-09-29,2002-10-08,10,1.6752960000000001
9011,288,2006-05-26,2006-06-10,16,1.38240864
9011,289,2007-01-09,2007-01-25,17,11.135664000000002
9011,290,2008-01-31,2008-03-21,51,43.1270784
9011,291,2011-08-04,2011-08-27,24,3.2612544000000017
9011,292,2011-11-25,2011-12-18,24,6.399648000000004
9011,293,2012-01-19,2012-01-30,12,4.55976
9011,294,2012-04-01,2012-04-10,10,7.248096000000002
9011,295,2012-07-13,2012-08-04,23,2.2248
9011,296,2015-12-23,2016-01-04,13,5.573232
9011,297,2016-12-26,2017-01-11,17,15.174864
9011,298,2017-04-12,2017-05-31,50,59.833736640000005
9011,299,2017-06-14,2017-06-24,11,2.204064
9011,300,2017-07-07,2017-08-26,51,3.532464
9011,301,2017-09-11,2017-11-04,55,11.444544
9011,302,2017-11-22,2017-12-02,11,8.286624000000002
9011,303,2019-01-05,2019-01-21,17,7.635168000000002
9012,304,1991-05-11,1991-06-13,34,0.5578415999999999
9012,305,1992-04-24,1992-06-08,46,0.09367487999999996
9012,306,1992-08-03,1992-09-21,50,0.2958508799999999
9012,307,1993-05-19,1993-08-13,87,0.42868224
9012,308,1995-08-24,1995-09-22,30,0.15297984000000006
9012,309,1997-03-07,1997-03-16,10,0.0320112
9012,310,1997-08-23,1997-08-31,9,0.03504383999999998
9012,311,1997-11-15,1997-12-01,17,0.07076160000000002
9012,312,1998-02-04,1998-03-16,41,0.21262176000000005
9012,313,1999-01-15,1999-03-12,57,0.2645136
9012,314,1999-04-05,1999-05-07,33,0.0977184
9012,315,1999-08-06,1999-08-12,7,0.030326399999999996
9012,316,2000-03-30,2000-04-03,5,0.03369600000000001
9012,317,2000-05-27,2000-06-09,14,0.12366432000000005
9012,318,2000-10-27,2000-11-22,27,0.26448768000000006
9012,319,2001-07-08,2001-07-17,10,0.06301152000000002
9012,320,2001-09-23,2001-11-04,43,0.3821126400000001
9012,321,2001-11-20,2002-02-09,82,1.3206758400000005
9012,322,2002-03-19,2002-07-06,110,1.1069049600000003
9012,323,2002-07-18,2002-08-21,35,0.25878528
9012,324,2002-10-11,2002-11-16,37,0.13411008000000008
9012,325,2003-01-17,2003-02-02,17,0.05863104000000001
9012,326,2003-06-14,2003-06-29,16,0.11490336000000001
9012,327,2004-09-11,2004-10-08,28,0.16511040000000007
9012,328,2004-10-21,2004-11-15,26,0.052358400000000034
9012,329,2005-02-11,2005-03-06,24,0.21565440000000005
9013,330,1974-02-05,1974-03-16,40,1.325592
9013,331,1974-08-11,1974-08-18,8,0.30075840000000015
9013,332,1976-04-26,1976-05-02,7,0.32918400000000003
9013,333,1977-03-27,1977-04-11,16,0.5814288000000001
9013,334,1977-09-09,1977-10-02,24,0.12688203143297705
9013,335,1977-12-31,1978-01-22,23,0.3080592
9013,336,1978-04-10,1978-04-22,13,0.258768
9013,337,1978-09-24,1978-11-27,65,2.2785790685156733
9013,338,1979-12-16,1980-03-21,97,2.299085038315361
9013,339,1980-04-08,1980-06-03,57,5.216621324293789
9013,340,1980-09-14,1980-09-19,6,0.5262586477657948
9013,341,1980-12-29,1981-01-04,7,0.17634240000000004
9013,342,1981-02-04,1981-02-23,20,0.15629760000000012
9013,343,1981-03-19,1981-04-06,19,0.3506112000000002
9013,344,1981-05-03,1981-05-18,16,0.7601525242937894
9013,345,1981-08-16,1981-09-07,23,0.31138560000000015
9013,346,1981-11-15,1981-12-10,26,1.1551107944530143
9013,347,1983-06-19,1983-06-29,11,1.165661142680973
9013,348,1983-09-15,1983-11-07,54,2.9872381090908595
9013,349,1984-07-30,1984-08-16,18,0.4385232000000001
9013,350,1984-08-28,1984-09-03,7,1.1019456000000003
9013,351,1985-05-09,1985-05-19,11,3.7779696000000005
9013,352,1985-11-04,1985-12-23,50,1.035545866255781
9013,353,1986-01-23,1986-02-16,25,0.3599424
9013,354,1986-07-20,1986-09-10,53,4.316604048073965
9013,355,1987-06-13,1987-06-18,6,0.2938896000000002
9013,356,1988-11-27,1988-12-12,16,0.1688991063173971
9013,357,1988-12-27,1989-02-27,63,0.7238157542886337
9013,358,1989-06-05,1989-07-30,56,6.369196274062677
9013,359,1989-10-09,1989-11-05,28,0.23137930847457783
9013,360,1990-04-01,1990-05-13,43,1.9509120000000002
9013,361,1990-08-05,1990-08-27,23,0.8424864000000001
9013,362,1991-04-21,1991-06-02,43,8.43316372429379
9013,363,1991-07-01,1991-08-19,50,4.119476089984601
9013,364,1991-09-14,1991-09-23,10,0.40395692080123713
9013,365,1991-12-15,1992-01-06,23,0.3907574500256832
9013,366,1992-01-19,1992-04-19,92,3.000071822496149
9013,367,1993-03-14,1993-04-19,37,2.053473597534672
9013,368,1993-05-17,1993-05-23,7,0.3641327999999999
